train_loss,valid_loss
0.007593,0.003864
0.007693,0.004353
0.026216,0.036512
0.056566,0.038512
0.055820,0.042484
0.055941,0.038459
0.054793,0.039441
0.054436,0.038118
0.054114,0.042066
0.053978,0.039233
0.053509,0.039845
0.052990,0.038680
0.052905,0.038688
0.053064,0.038454
0.052626,0.038298
0.052481,0.039204
0.052283,0.040180
0.052159,0.038285
0.052280,0.039067
0.052144,0.038812
