date,5-day,10-day,20-day,30-day,Close
2020-01-02,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-01-03,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-01-06,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-01-07,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-01-08,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-01-09,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-01-10,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-01-13,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-01-14,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-01-15,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-01-16,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-01-17,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-01-20,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-01-21,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-01-22,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-01-23,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-03,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-04,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-05,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-06,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-07,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-10,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-11,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-12,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-13,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-14,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-17,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-18,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-19,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-20,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-21,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-24,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-25,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-26,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-27,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-28,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-02,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-03,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-04,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-05,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-06,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-09,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-10,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-11,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-12,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-13,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-16,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-17,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-18,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-19,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-20,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-23,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-24,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-25,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-26,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-27,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-30,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-31,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-01,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-02,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-03,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-07,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-08,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-09,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-10,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-13,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-14,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-15,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-16,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-17,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-20,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-21,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-22,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-23,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-24,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-27,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-28,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-29,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-30,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-06,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-07,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-08,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-11,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-12,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-13,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-14,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-15,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-18,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-19,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-20,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-21,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-22,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-25,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-26,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-27,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-28,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-29,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-01,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-02,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-03,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-04,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-05,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-08,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-09,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-10,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-11,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-12,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-15,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-16,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-17,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-18,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-19,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-22,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-23,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-24,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-29,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-30,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-01,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-02,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-03,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-06,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-07,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-08,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-09,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-10,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-13,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-14,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-15,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-16,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-17,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-20,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-21,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-22,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-23,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-24,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-27,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-28,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-29,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-30,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-31,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-08-03,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-08-04,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-08-05,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-08-06,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-08-07,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-08-10,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-08-11,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-08-12,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-08-13,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-08-14,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-08-17,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-08-18,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-08-19,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-08-20,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-08-21,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-08-24,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-08-25,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-08-26,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-08-27,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-08-28,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-08-31,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-09-01,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-09-02,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-09-03,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-09-04,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-09-07,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-09-08,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-09-09,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-09-10,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-09-11,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-09-14,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-09-15,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-09-16,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-09-17,0.6031723351611902,0.6031723351611902,0.6031723351611902,0.6031723351611902,0.6031723351611902
2020-09-18,0.563159912927725,0.563159912927725,0.563159912927725,0.563159912927725,0.5231474906942599
2020-09-21,0.5585495317119306,0.5585495317119306,0.5585495317119306,0.5585495317119306,0.5493287692803416
2020-09-22,0.5654173385656402,0.5654173385656402,0.5654173385656402,0.5654173385656402,0.5860207591267694
2020-09-23,0.5659548206868096,0.5659548206868096,0.5659548206868096,0.5659548206868096,0.5681047491714866
2020-09-24,0.5621614030125374,0.5689965583706462,0.5689965583706462,0.5689965583706462,0.5842052467898295
2020-09-25,0.5751660380219489,0.5717357165664564,0.5717357165664564,0.5717357165664564,0.5881706657413172
2020-09-28,0.5821126690743249,0.573276492563427,0.573276492563427,0.573276492563427,0.5840619245422217
2020-09-29,0.5735129842957891,0.569914919526834,0.569914919526834,0.569914919526834,0.5430223352340906
2020-09-30,0.5692991352550859,0.5676269779709477,0.5676269779709477,0.5676269779709477,0.5470355039679705
2020-10-09,0.5692131419065213,0.5656872724595293,0.5690950054324075,0.5690950054324075,0.5837752800470062
2020-10-12,0.5711910691139828,0.5731785535679658,0.5715087801279257,0.5715087801279257,0.5980603017786247
2020-10-13,0.5848167866364762,0.5834647278554005,0.5777150672069075,0.5777150672069075,0.6521905121546889
2020-10-14,0.6327361354315049,0.6031245598636471,0.5923510680642166,0.5923510680642166,0.7826190792092345
2020-10-15,0.6809899222444002,0.6251445287497431,0.6054146260620985,0.6054146260620985,0.7883044380324465
2020-10-16,0.7219053037979667,0.6455592228522439,0.6168482236716448,0.6168482236716448,0.7883521878148387
2020-10-19,0.7569442472082779,0.6640676581611303,0.6260486233868527,0.6260486233868527,0.7732550188301813
2020-10-20,0.7843676981105666,0.6845922423735215,0.6351185757912572,0.6351185757912572,0.7893077666661321
2020-10-21,0.774038523503828,0.7033873294676665,0.6401635563377984,0.6401635563377984,0.7309732061755413
2020-10-22,0.7627251639166194,0.7218575430805098,0.6447422605257288,0.6447422605257288,0.7317376400964035
2020-10-23,0.7448664974404658,0.7333859006192163,0.6495365865393727,0.6473287650451736,0.6990588554340711
2020-10-26,0.7355979366261972,0.7462710919172376,0.6597248227426017,0.6509461945776129,0.726912214758838
2020-10-27,0.7284888615431272,0.7564282798268469,0.6699465038411236,0.6554164639981854,0.7537623912507818
2020-10-28,0.7321007279837053,0.7530696257437666,0.6780970928037069,0.659317133764029,0.749032538378432
2020-10-29,0.7413883887109308,0.7520567763137751,0.6886006525317591,0.6640714861627691,0.7781759437325312
2020-10-30,0.7457646599121988,0.7453155786763322,0.6954374007642882,0.6662587448272937,0.7209402114404104
2020-11-02,0.7473603920293584,0.7414791643277779,0.702773411244454,0.6688006755871955,0.7348908753446368
2020-11-03,0.7437580755452589,0.736123468544193,0.7103578554588571,0.6711917517744486,0.7357508088302834
2020-11-04,0.740738627168241,0.7364196775759732,0.7199035035218199,0.6733553222819967,0.7339352964933434
2020-11-05,0.730438117011024,0.7359132528609775,0.7288853979707436,0.675132591304145,0.7266733929464458
2020-11-06,0.7243419059380317,0.7350532829251153,0.7342195917721658,0.6780421520012869,0.690459156075449
2020-11-09,0.7247623227243766,0.7360613573768675,0.7411662246470525,0.685170334287357,0.7369929592763612
2020-11-10,0.7172997097104832,0.7305288926278709,0.743478586227359,0.6901406334367062,0.6984377437608166
2020-11-11,0.7058621277886238,0.7233003774784323,0.7381850016110996,0.6931648543619486,0.676747386884046
2020-11-12,0.6970235628773508,0.7137308399441874,0.7328938081289813,0.6969773816692352,0.6824805683900814
2020-11-13,0.6963069224791396,0.7103244142085856,0.727819996442459,0.7003997385790539,0.6868759540843925
2020-11-16,0.6846113605115861,0.7046868416179813,0.7230830029728796,0.7034112213689632,0.6785151494385938
2020-11-17,0.674568830400063,0.6959342700552731,0.716028869299733,0.7055499936576625,0.6482250932032012
2020-11-18,0.6653862775144452,0.6856242026515346,0.7110219401137537,0.7084770698983913,0.6308346224559572
2020-11-19,0.6578854355144655,0.6774544991959082,0.7066838760284428,0.7117417650457984,0.6449763583901835
2020-11-20,0.654101567796672,0.6752042451379057,0.7051287640315105,0.7145478095607457,0.6679566154954241
2020-11-23,0.6568630215479094,0.6707371910297477,0.7033992742033076,0.717689880107951,0.6923224181947812
2020-11-24,0.6618508398858671,0.6682098351429651,0.699369363885418,0.7183890025325609,0.6731641848929895
2020-11-25,0.6738139610157654,0.6696001192651053,0.6964502483717688,0.7153233741624349,0.6906502281054491
2020-11-26,0.6784482414228997,0.6681668384686826,0.6909488392064351,0.7113181515755485,0.6681477604258551
2020-11-27,0.6757154521211838,0.6649085099589279,0.6876164620837568,0.7068495009479486,0.6542926689868444
2020-11-30,0.6805790481244905,0.6687210348362,0.6867039382270907,0.7049623469273196,0.716640398211315
2020-12-01,0.6897902654596298,0.6758205526727485,0.6858774113640108,0.7026260970907382,0.7192202715686861
2020-12-02,0.6954851742393204,0.6846495676275429,0.6851368851395387,0.7022311492850168,0.7191247720039017
2020-12-03,0.7089962339637277,0.6937222376933138,0.685588368444611,0.7023633299167331,0.7357030590478912
