date,5-day,10-day,20-day,30-day,Close
2020-01-02,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-01-03,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-01-06,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-01-07,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-01-08,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-01-09,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-01-10,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-01-13,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-01-14,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-01-15,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-01-16,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-01-17,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-01-20,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-01-21,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-01-22,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-01-23,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-03,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-04,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-05,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-06,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-07,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-10,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-11,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-12,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-13,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-14,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-17,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-18,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-19,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-20,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-21,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-24,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-25,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-26,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-27,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-02-28,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-02,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-03,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-04,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-05,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-06,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-09,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-10,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-11,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-12,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-13,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-16,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-17,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-18,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-19,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-20,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-23,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-24,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-25,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-26,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-27,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-30,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-03-31,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-01,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-02,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-03,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-07,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-08,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-09,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-10,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-13,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-14,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-15,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-16,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-17,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-20,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-21,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-22,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-23,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-24,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-27,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-28,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-29,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-04-30,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-06,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-07,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-08,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-11,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-12,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-13,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-14,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-15,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-18,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-19,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-20,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-21,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-22,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-25,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-26,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-27,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-28,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-05-29,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-01,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-02,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-03,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-04,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-05,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-08,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-09,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-10,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-11,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-12,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-15,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-16,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-17,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-18,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-19,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-22,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-23,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-24,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-29,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-06-30,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-01,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-02,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-03,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-06,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-07,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-08,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-09,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-10,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-13,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-14,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-15,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-16,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-17,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-20,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-21,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-22,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-23,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-24,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-27,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-28,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-29,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-30,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-07-31,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-08-03,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-08-04,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-08-05,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-08-06,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-08-07,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-08-10,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-08-11,-1234.0,-1234.0,-1234.0,-1234.0,-1234.0
2020-08-12,0.8186037097658719,0.8186037097658719,0.8186037097658719,0.8186037097658719,0.8186037097658719
2020-08-13,0.7687575348179897,0.7687575348179897,0.7687575348179897,0.7687575348179897,0.7189113598701073
2020-08-14,0.7540887082596709,0.7540887082596709,0.7540887082596709,0.7540887082596709,0.7247510551430332
2020-08-17,0.7401063906554055,0.7401063906554055,0.7401063906554055,0.7401063906554055,0.6981594378426097
2020-08-18,0.7368163270242082,0.7368163270242082,0.7368163270242082,0.7368163270242082,0.723656072499419
2020-08-19,0.7113822582578979,0.7292525001758937,0.7292525001758937,0.7292525001758937,0.6914333659343206
2020-08-20,0.7007873325393787,0.7202073903332676,0.7202073903332676,0.7202073903332676,0.6659367312775113
2020-08-21,0.6898795614563882,0.7139579915076192,0.7139579915076192,0.7139579915076192,0.6702121997280802
2020-08-24,0.6765733463737282,0.7048102549433627,0.7048102549433627,0.7048102549433627,0.6316283624293101
2020-08-25,0.6541738505924307,0.6954950888083196,0.6954950888083196,0.6954950888083196,0.6116585935929314
2020-08-26,0.635465885558362,0.67342407190813,0.6866222208042884,0.6866222208042884,0.5978935407639769
2020-08-27,0.6187079729900569,0.6597476527647178,0.6779159664402631,0.6779159664402631,0.5821471684359856
2020-08-28,0.5971844394556863,0.6435320004560372,0.6690450868722603,0.6690450868722603,0.5625945320562276
2020-08-31,0.5857865556371398,0.631179951005434,0.6623017909054258,0.6623017909054258,0.5746389433365775
2020-09-01,0.5787371841960025,0.6164555173942166,0.6565757872708805,0.6565757872708805,0.5764117363872446
2020-09-02,0.5725220538001419,0.603993969679252,0.6509659186154926,0.6509659186154926,0.5668178887846743
2020-09-03,0.5747953739748013,0.5967516734824291,0.6475863804210096,0.6475863804210096,0.5935137693092826
2020-09-04,0.5806350931156914,0.5889097662856888,0.6444867552732135,0.6444867552732135,0.5917931277606782
2020-09-07,0.5825747152810425,0.5841806354590912,0.6413209815305881,0.6413209815305881,0.5843370541633328
2020-09-08,0.5813963379700567,0.5800667610830296,0.6377809249456745,0.6377809249456745,0.5705198498323156
2020-09-09,0.5728140385637882,0.5726680461819651,0.6230460590450475,0.6323583281269916,0.5239063917533319
2020-09-10,0.5573074915413924,0.5660514327580968,0.6128995427614073,0.6270684511301876,0.5159810341973032
2020-09-11,0.5455237661674629,0.5630794296415772,0.6033057150488071,0.6229730619893546,0.5328745008910308
2020-09-14,0.5353981084956507,0.5589864118883466,0.5950831814468903,0.6192537163149762,0.5337087658042721
2020-09-15,0.5284113029450125,0.5549038204575345,0.5856796689258756,0.6159070005455421,0.5355858220791241
2020-09-16,0.5305282004374361,0.5516711195006122,0.577832544589932,0.6127756112636156,0.5344908792154505
2020-09-17,0.5387976624352213,0.5480525769883069,0.5724021252353679,0.6107220087792679,0.5573283441862293
2020-09-18,0.5435007254667759,0.5445122458171193,0.5667110060514041,0.6087815733246084,0.5563898160488033
2020-09-21,0.5471088376786686,0.5412534730871597,0.5627170542731255,0.6068149441363024,0.551749326863736
2020-09-22,0.5462537360325667,0.5373325194887896,0.5586996402859096,0.6042981231267129,0.5313103138486146
2020-09-23,0.5461598792408301,0.5383440398391331,0.5555060430105491,0.594812052643076,0.5340215952567672
2020-09-24,0.5389436548170444,0.5388706586261329,0.5524610456921148,0.5882232480496492,0.5212472220673015
2020-09-25,0.5310078908285676,0.5372543081476717,0.5501668688946244,0.5812885794150954,0.516710996106419
2020-09-28,0.5230825571405032,0.535095697409586,0.5470410546489664,0.5750873534344556,0.5121226584234143
2020-09-29,0.5192241654546382,0.5327389507436024,0.5438213856005686,0.5680327628651178,0.512018355419289
2020-09-30,0.5142499782602624,0.5302049287505463,0.5409380241255792,0.5619566726434702,0.5091506592848888
2020-10-09,0.5145419630239088,0.5267428089204766,0.5373976929543918,0.5571823531304042,0.5227071458855329
2020-10-12,0.5201626935920642,0.5255852922103159,0.5350487690137177,0.5530024347710414,0.544814648947196
2020-10-13,0.5268992276247183,0.5249908923826108,0.5331221827348852,0.5501416669762872,0.5458053285866847
2020-10-14,0.5316231512570978,0.525423658355868,0.5313780889223287,0.547607646309229,0.5356379735811868
2020-10-15,0.5344595883142128,0.5243547832872377,0.5313494115631854,0.5451222897694452,0.5233328445704638
2020-10-16,0.5342927353315646,0.5244173491777366,0.5316440039019348,0.5431131468539888,0.5218728809722918
2020-10-19,0.5297148120369963,0.5249387528145303,0.531096530481101,0.5417574968679264,0.5219250324743545
2020-10-20,0.5239793720322673,0.5254392998284927,0.5302674986190393,0.5398404697088084,0.5171281285630396
2020-10-21,0.5199854182649916,0.5258042847610447,0.5292716177523236,0.5378156853207272,0.5156682047448081
2020-10-22,0.5170968376618019,0.5257782129880074,0.5279915708692768,0.5358847537463886,0.5088899415545157
2020-10-23,0.5120705069213516,0.5231816211264582,0.5249622150234674,0.5326590023450805,0.49674122727004033
2020-10-26,0.5064080631075342,0.5180614375722653,0.5218233648912906,0.5293863251999001,0.49361281340526714
2020-10-27,0.5022576866580227,0.513118529345145,0.5190547108638779,0.5264542982716385,0.49637624631548244
2020-10-28,0.49606340890699924,0.5080244135859954,0.5167240359709317,0.5235935304768843,0.48469681598969033
2020-10-29,0.490223689766109,0.5036602637139556,0.5140075235005966,0.5221196956134421,0.4796913458500651
2020-10-30,0.48483237807110097,0.4984514424962263,0.5114343958369815,0.5205798167666986,0.4697846687949996
2020-11-02,0.4789300930397118,0.4926690780736229,0.5088039154440765,0.5182873796786083,0.46410138824832137
2020-11-03,0.4754054073191431,0.4888315469885829,0.5071354234085379,0.5164555147422205,0.4787528177126391
2020-11-04,0.4731738003901457,0.4846186046485725,0.5052114447048086,0.5143872800510731,0.4735387813447036
2020-11-05,0.4737264869721888,0.48197508836914893,0.5038766506785781,0.5126527433692342,0.4824547787602804
2020-11-06,0.4745607359734537,0.4796965570222773,0.5014390890743677,0.509873662356404,0.4739559138013242
2020-11-09,0.47924293840418314,0.47908651572194744,0.4985739766471063,0.5075777485015095,0.48751240040196836
2020-11-10,0.4853225067186331,0.4803639570188881,0.49674124318201657,0.506157792915548,0.5091506592848888
2020-11-11,0.49479119867224103,0.48398249953119343,0.49600345655859435,0.5058101904910189,0.5208822411127436
2020-11-12,0.5012878914873234,0.4875071892297561,0.49558372647185583,0.5051740787436497,0.5149382428356923
2020-11-13,0.5127796241416185,0.4936701800575361,0.4960608112768812,0.5055129905771664,0.5314145770727995
2020-11-16,0.5211950785212268,0.500219008462705,0.496444043268164,0.5059422797836194,0.5295896723000101
2020-11-17,0.5213932064931365,0.5033578566058848,0.4960947017972338,0.5058762344743202,0.510141299144437
2020-11-18,0.5193075919459623,0.5070493953091018,0.49583399997883704,0.5058240949062396,0.5104541683768726
2020-11-19,0.5190573124719899,0.5101726019796567,0.49607384517440284,0.5059753011122711,0.5136868454658307
2020-11-20,0.5150007928142152,0.5138902084779168,0.49679338275009705,0.5055894622088841,0.5111319787839256
2020-11-23,0.5130507403484517,0.5171229094348393,0.4981047125783933,0.5047569542430173,0.5198394099711922
